diagnosis_code,description,category
E11.9,Type 2 Diabetes without complications,Endocrine
I10,Essential Hypertension,Circulatory
J44.1,COPD with acute exacerbation,Respiratory
M17.11,Primary osteoarthritis right knee,Musculoskeletal
F32.1,Major depressive disorder moderate,Mental Health
I25.10,Atherosclerotic heart disease,Circulatory
N18.3,Chronic kidney disease stage 3,Genitourinary
C34.10,Malignant neoplasm of bronchus,Neoplasms
E78.5,Hyperlipidemia unspecified,Endocrine
Z00.00,General adult medical exam,Preventive
