year,month_num,month_name,total_claims,total_billed,total_paid
2023,1,January,145,1300487.67,679237.87
2023,2,February,107,959986.55,492922.89
2023,3,March,119,1190791.31,553842.51
2023,4,April,117,1007254.80,454297.21
2023,5,May,116,1072301.05,479021.78
2023,6,June,125,1079159.02,493191.90
2023,7,July,110,950146.43,451428.61
2023,8,August,147,1468180.06,708769.36
2023,9,September,130,1165278.44,579483.04
2023,10,October,130,1227017.07,611983.44
2023,11,November,113,1038285.01,460353.58
2023,12,December,125,1234116.78,594135.53
2024,1,January,124,1096671.13,516799.42
2024,2,February,113,1035202.31,499342.05
2024,3,March,114,993477.50,497164.98
2024,4,April,115,990306.13,458694.26
2024,5,May,129,1143290.91,569432.43
2024,6,June,117,1117788.86,541514.59
2024,7,July,129,1241945.97,508534.35
2024,8,August,109,1032125.94,462948.76
2024,9,September,121,1130905.39,594159.85
2024,10,October,146,1360236.40,657126.60
2024,11,November,160,1605499.01,733693.10
2024,12,December,139,1300029.12,657955.63
